id_paper;MDS1;MDS2;year_publication;country;country_cor;area;wallace_bioregion;number_sp;energy;how;where;when;why;geographical_scale;organizational_lvl;tracking_method;ecosystem;spatial_scale;spatial_ext;organizational_lvl_fact;Ecosystem;ecological_scale
255;0,0444319059023044;-0,25490599913652434;2012;Germany;Germany;Europe;Paleartic;4;Eolic terrestrial;No;Yes;Yes;No;continental;1;Isotopes;other;Multi_scale;3;individuals;other;individuals
257;0,0274125298515144;-0,11500080911938784;2016;Russia;Russia;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;regional;1;Biologgers;freshwaters;Large_scale;2;individuals;freshwaters;individuals
260;0,0117952461733323;-0,13611672397093233;2014;Norway;Norway;Europe;Paleartic;2;Hydroelectric;Yes;Yes;No;No;regional;1;Other;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
262;0,0310501280667104;-0,03305732321694301;2018;Spain;Spain;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;1;Biologgers;freshwaters;Short_scale;1;individuals;freshwaters;individuals
263;-0,0696340444764966;-0,04525838090202642;2022;Czech Republic;Czech Republic;Europe;Paleartic;1;Hydroelectric;No;No;Yes;No;local;2;Biologgers;freshwaters;Multi_scale;1;populations;freshwaters;populations
264;-0,6141086026500590;-0,07799800662212651;2021;Brazil;Brazil;South America;Neotropical;191;Hydroelectric;No;Yes;No;No;regional;4;No tracking;freshwaters;Large_scale;2;communities;freshwaters;communities
265;0,0313818496552746;-0,12617982893088947;2021;Brazil;Brazil;South America;Neotropical;1;Hydroelectric;Yes;Yes;Yes;No;regional;1;Other;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
267;0,0164725951037355;-0,03155128385428630;2013;The Netherlands;The Netherlands;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;No;local;1;Other;freshwaters;Large_scale;1;individuals;freshwaters;individuals
268;-0,0862720589487215;0,00018985421654650;2012;Canada;Canada;North America;Neartic;1;Other;Yes;Yes;No;No;local;2;Biologgers;forests;Short_scale;1;populations;forests;populations
270;0,0356366553701814;-0,12859499906340846;2014;United States;United States of America;North America;Neartic;1;Hydroelectric;Yes;Yes;No;No;regional;1;No tracking;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
271;0,0352027071149736;-0,04316908087921625;2020;Germany;Germany;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;1;Other;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
273;0,0225608147151686;0,29490374575227157;2015;Brazil;Brazil;South America;Neotropical;81;Hydroelectric;No;Yes;No;No;local;1;No tracking;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
274;0,0397977614270995;-0,04815058101753452;2021;Canada;Canada;North America;Neartic;1;Hydroelectric;Yes;Yes;No;No;local;1;Biologgers;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
275;-0,0797345028673454;-0,12974225702244904;2017;China;China;East Asia;Sino-Japanese;1;Hydroelectric;No;Yes;No;No;regional;2;No tracking;freshwaters;Medium_scale;2;populations;freshwaters;populations
279;-0,0753052090769515;-0,04883115914916470;2022;France;France;Europe;Paleartic;1;Hydroelectric;Yes;No;No;No;local;2;Bioacustic;freshwaters;Large_scale;1;populations;freshwaters;populations
284;-0,0838248974892154;-0,29771005555755559;1997;Canada;Canada;North America;Neartic;1;Hydroelectric;Yes;Yes;Yes;Yes;regional;2;Biologgers;freshwaters;Multi_scale;2;populations;freshwaters;populations
